lat,long,
47.26705,-52.7739, 
47.26703,-52.77388, 
47.26702,-52.77385, 
47.267,-52.77383, 
47.26698,-52.7738, 
47.26696,-52.77379, 
47.26694,-52.77376, 
47.26692,-52.77375, 
47.2669,-52.77372, 
47.26688,-52.77371, 
47.26686,-52.7737, 
47.26683,-52.77367, 
47.26682,-52.77366, 
47.2668,-52.77364, 
47.26678,-52.77362, 
47.26676,-52.77359, 
47.26674,-52.77359, 
47.26671,-52.77358, 
47.26669,-52.77355, 
47.26666,-52.77354, 
47.26664,-52.77352, 
47.26662,-52.77351, 
47.2666,-52.7735, 
47.26658,-52.77349, 
47.26656,-52.77346, 
47.26656,-52.77342, 
47.26656,-52.77339, 
47.26658,-52.77337, 
47.26659,-52.77336, 
47.26661,-52.77335, 
47.26663,-52.77334, 
47.26666,-52.77334, 
47.26669,-52.77332, 
47.26672,-52.77332, 
47.26675,-52.77332, 
47.26678,-52.77331, 
47.2668,-52.7733, 
47.26682,-52.77329, 
47.26684,-52.77327, 
47.26686,-52.77325, 
47.26688,-52.77323, 
47.2669,-52.77321, 
47.26691,-52.77318, 
47.2669,-52.77314, 
47.2669,-52.77311, 
47.2669,-52.77307, 
47.2669,-52.77305, 
47.2669,-52.77303, 
47.26689,-52.77297, 
47.26689,-52.77294, 
47.2669,-52.77291, 
47.26691,-52.77289, 
47.26691,-52.77284, 
47.26689,-52.77284, 
47.26687,-52.77282, 
47.26684,-52.7728, 
47.26682,-52.77278, 
47.2668,-52.77276, 
47.26677,-52.77274, 
47.26675,-52.77273, 
47.26673,-52.77272, 
47.2667,-52.77271, 
47.26668,-52.77272, 
47.26666,-52.77272, 
47.26664,-52.77272, 
47.26661,-52.77272, 
47.26659,-52.77273, 
47.26659,-52.77273, 
47.26662,-52.77272, 
47.26665,-52.77271, 
47.26666,-52.7727, 
47.26669,-52.77269, 
47.26671,-52.77269, 
47.26674,-52.77267, 
47.26677,-52.77266, 
47.2668,-52.77265, 
47.26682,-52.77265, 
47.26684,-52.77263, 
47.26686,-52.77263, 
47.26688,-52.77262, 
47.26691,-52.77262, 
47.26693,-52.77262, 
47.26695,-52.77261, 
47.26697,-52.7726, 
47.26701,-52.7726, 
47.26703,-52.77259, 
47.26705,-52.77257, 
47.26708,-52.77255, 
47.26711,-52.77255, 
47.26713,-52.77253, 
47.26713,-52.7725, 
47.26713,-52.77246, 
47.26713,-52.77243, 
47.26713,-52.77239, 
47.26711,-52.77237, 
47.26709,-52.77235, 
47.26707,-52.77233, 
47.26706,-52.77231, 
47.26702,-52.77228, 
47.26699,-52.77227, 
47.26697,-52.77225, 
47.26694,-52.77223, 
47.26692,-52.77222, 
47.26689,-52.7722, 
47.26689,-52.77217, 
47.26689,-52.77214, 
47.26687,-52.77213, 
47.26685,-52.77212, 
47.26682,-52.77211, 
47.2668,-52.77211, 
47.26678,-52.77212, 
47.26676,-52.77211, 
47.26673,-52.77212, 
47.26671,-52.77211, 
47.26668,-52.77212, 
47.26665,-52.77212, 
47.26663,-52.77212, 
47.26663,-52.77212, 
47.26665,-52.77212, 
47.26668,-52.77209, 
47.26671,-52.77206, 
47.26672,-52.77204, 
47.26674,-52.77202, 
47.26676,-52.77198, 
47.26677,-52.77195, 
47.26678,-52.77191, 
47.26679,-52.77188, 
47.26679,-52.77185, 
47.2668,-52.77182, 
47.2668,-52.77178, 
47.26681,-52.77174, 
47.2668,-52.77169, 
47.26679,-52.77166, 
47.26677,-52.77164, 
47.26675,-52.7716, 
47.26675,-52.77157, 
47.26674,-52.77155, 
47.26672,-52.77152, 
47.26668,-52.77151, 
47.26667,-52.77149, 
47.26665,-52.77149, 
47.26662,-52.77149, 
47.2666,-52.77149, 
47.26658,-52.7715, 
47.26655,-52.7715, 
47.26652,-52.77151, 
47.2665,-52.77154, 
47.26648,-52.77156, 
47.26646,-52.77158, 
47.26645,-52.77159, 
47.26643,-52.7716, 
47.26641,-52.7716, 
47.26639,-52.77161, 
47.26636,-52.7716, 
47.26634,-52.7716, 
47.26632,-52.77161, 
47.2663,-52.77161, 
47.26628,-52.77161, 
47.26626,-52.7716, 
47.26623,-52.77158, 
47.26621,-52.77155, 
47.26619,-52.77153, 
47.26618,-52.77152, 
47.26617,-52.77149, 
47.26615,-52.77145, 
47.26614,-52.77142, 
47.26612,-52.77139, 
47.26611,-52.77135, 
47.2661,-52.77132, 
47.26609,-52.7713, 
47.26608,-52.77127, 
47.26606,-52.77121, 
47.26606,-52.77118, 
47.26607,-52.77114, 
47.26608,-52.7711, 
47.26608,-52.77107, 
47.26609,-52.77104, 
47.26608,-52.77099, 
47.26607,-52.77095, 
47.26605,-52.77092, 
47.26603,-52.77091, 
47.26601,-52.77091, 
47.26598,-52.7709, 
47.26596,-52.7709, 
47.26593,-52.7709, 
47.26591,-52.77088, 
47.26589,-52.77088, 
47.26587,-52.77087, 
47.26585,-52.77085, 
47.26582,-52.77084, 
47.26579,-52.77082, 
47.26577,-52.77081, 
47.26576,-52.7708, 
47.26573,-52.77078, 
47.26571,-52.77076, 
47.2657,-52.77073, 
47.26567,-52.77071, 
47.26565,-52.77068, 
47.26563,-52.77067, 
47.26561,-52.77065, 
47.26559,-52.77063, 
47.26557,-52.7706, 
47.26556,-52.77059, 
47.26553,-52.77056, 
47.26551,-52.77054, 
47.26548,-52.77052, 
47.26547,-52.7705, 
47.26545,-52.77048, 
47.26544,-52.77043, 
47.26543,-52.77039, 
47.26544,-52.77037, 
47.26543,-52.77033, 
47.2654,-52.7703, 
47.26538,-52.7703, 
47.26537,-52.77029, 
47.26534,-52.77029, 
47.26532,-52.77029, 
47.2653,-52.77027, 
47.2653,-52.77024, 
47.2653,-52.77019, 
47.2653,-52.77015, 
47.26529,-52.77012, 
47.26528,-52.7701, 
47.26525,-52.7701, 
47.26523,-52.7701, 
47.2652,-52.7701, 
47.26518,-52.7701, 
47.26515,-52.7701, 
47.26514,-52.77007, 
47.26514,-52.77004, 
47.26512,-52.77, 
47.26511,-52.76997, 
47.2651,-52.76996, 
47.26507,-52.76993, 
47.26506,-52.76989, 
47.26504,-52.76987, 
47.26503,-52.76985, 
47.26501,-52.76983, 
47.26498,-52.76983, 
47.26496,-52.76983, 
47.26494,-52.76983, 
47.26492,-52.76984, 
47.2649,-52.76984, 
47.26487,-52.76985, 
