lat,long,
47.26844,-52.77211, 
47.26844,-52.77211, 
47.26844,-52.7721, 
47.26844,-52.77209, 
47.26843,-52.77209, 
47.26842,-52.77208, 
47.26842,-52.77208, 
47.26841,-52.77208, 
47.2684,-52.77207, 
47.26839,-52.77207, 
47.26838,-52.77207, 
47.26837,-52.77206, 
47.26837,-52.77206, 
47.26836,-52.77205, 
47.26835,-52.77205, 
47.26835,-52.77204, 
47.26833,-52.77204, 
47.26833,-52.77203, 
47.26832,-52.77203, 
47.2683,-52.77203, 
47.26829,-52.77203, 
47.26828,-52.77204, 
47.26828,-52.77203, 
47.26827,-52.77203, 
47.26826,-52.77203, 
47.26824,-52.77203, 
47.26823,-52.77203, 
47.26821,-52.77203, 
47.26821,-52.77204, 
47.2682,-52.77204, 
47.2682,-52.77206, 
47.2682,-52.77207, 
47.2682,-52.77208, 
47.2682,-52.7721, 
47.2682,-52.77212, 
47.26819,-52.77215, 
47.26818,-52.7722, 
47.26817,-52.77222, 
47.26816,-52.77223, 
47.26815,-52.77225, 
47.26815,-52.77226, 
47.26814,-52.77227, 
47.26814,-52.77228, 
47.26813,-52.7723, 
47.26813,-52.77234, 
47.26813,-52.77236, 
47.26813,-52.77239, 
47.26813,-52.7724, 
47.26813,-52.77243, 
47.26813,-52.77246, 
47.26812,-52.77249, 
47.26811,-52.77251, 
47.26811,-52.77253, 
47.2681,-52.77254, 
47.26809,-52.77256, 
47.26809,-52.77257, 
47.26808,-52.77258, 
47.26808,-52.77261, 
47.26808,-52.77263, 
47.26808,-52.77265, 
47.26808,-52.77266, 
47.26808,-52.7727, 
47.26808,-52.77271, 
47.26809,-52.77273, 
47.2681,-52.77275, 
47.26811,-52.77276, 
47.26812,-52.77277, 
47.26813,-52.77277, 
47.26814,-52.77278, 
47.26815,-52.77279, 
47.26816,-52.77279, 
47.26816,-52.7728, 
47.26817,-52.77279, 
47.26817,-52.77279, 
47.26818,-52.7728, 
47.26819,-52.77281, 
47.2682,-52.77281, 
47.2682,-52.77282, 
47.26821,-52.77282, 
47.26821,-52.77283, 
47.26822,-52.77283, 
47.26823,-52.77284, 
47.26824,-52.77284, 
47.26825,-52.77285, 
47.26826,-52.77285, 
47.26827,-52.77285, 
47.26827,-52.77286, 
47.26828,-52.77286, 
47.2683,-52.77286, 
47.26831,-52.77286, 
47.26831,-52.77287, 
47.26831,-52.77287, 
47.26832,-52.77287, 
47.26833,-52.77289, 
47.26833,-52.7729, 
47.26834,-52.7729, 
47.26835,-52.77291, 
47.26835,-52.77291, 
47.26836,-52.77292, 
47.26836,-52.77292, 
47.26836,-52.77293, 
47.26837,-52.77293, 
47.26838,-52.77294, 
47.26838,-52.77294, 
47.26839,-52.77295, 
47.2684,-52.77296, 
47.26841,-52.77296, 
47.26842,-52.77297, 
47.26842,-52.77297, 
47.26843,-52.77298, 
47.26844,-52.77299, 
47.26845,-52.77299, 
47.26845,-52.773, 
47.26845,-52.773, 
47.26846,-52.77301, 
47.26847,-52.77301, 
47.26847,-52.77302, 
47.26847,-52.77304, 
47.26847,-52.77306, 
47.26847,-52.77308, 
47.26846,-52.7731, 
47.26846,-52.7731, 
47.26846,-52.77312, 
47.26845,-52.77314, 
47.26845,-52.77315, 
47.26845,-52.77315, 
47.26844,-52.77316, 
47.26843,-52.77318, 
47.26842,-52.77319, 
47.26842,-52.7732, 
47.2684,-52.77319, 
47.2684,-52.77319, 
47.26839,-52.7732, 
47.26837,-52.77321, 
47.26837,-52.77322, 
47.26838,-52.77324, 
47.26838,-52.77325, 
47.26837,-52.77326, 
47.26837,-52.77327, 
47.26838,-52.77327, 
47.26838,-52.77328, 
47.26839,-52.77329, 
47.2684,-52.7733, 
47.2684,-52.77331, 
47.26841,-52.77332, 
47.26841,-52.77333, 
47.26842,-52.77334, 
47.26842,-52.77335, 
47.26842,-52.77336, 
47.26842,-52.77337, 
47.26842,-52.77338, 
47.26842,-52.77339, 
47.26842,-52.77342, 
47.26841,-52.77342, 
47.26841,-52.77343, 
47.2684,-52.77344, 
47.26839,-52.77346, 
47.26838,-52.77349, 
47.26837,-52.7735, 
47.26837,-52.77351, 
47.26836,-52.77351, 
47.26835,-52.77352, 
47.26834,-52.77353, 
47.26833,-52.77354, 
47.26832,-52.77354, 
47.26831,-52.77355, 
47.26831,-52.77355, 
47.2683,-52.77355, 
47.26829,-52.77355, 
47.26828,-52.77355, 
47.26827,-52.77354, 
47.26827,-52.77354, 
47.26826,-52.77354, 
47.26825,-52.77355, 
47.26825,-52.77355, 
47.26824,-52.77357, 
47.26823,-52.77357, 
47.26823,-52.77358, 
47.26822,-52.7736, 
47.26821,-52.77362, 
47.26821,-52.77362, 
47.2682,-52.77362, 
47.26819,-52.77363, 
47.26819,-52.77363, 
47.26818,-52.77363, 
47.26817,-52.77363, 
47.26815,-52.77363, 
47.26814,-52.77363, 
47.26812,-52.77364, 
47.2681,-52.77364, 
47.26809,-52.77364, 
47.2681,-52.77364, 
47.2681,-52.77365, 
47.26811,-52.77365, 
47.26812,-52.77365, 
47.26813,-52.77365, 
47.26814,-52.77366, 
47.26815,-52.77367, 
47.26816,-52.77368, 
47.26817,-52.77369, 
47.26817,-52.7737, 
47.26817,-52.7737, 
47.26816,-52.77374, 
47.26816,-52.77376, 
47.26815,-52.77377, 
47.26815,-52.77378, 
47.26814,-52.77379, 
47.26814,-52.77381, 
47.26813,-52.77384, 
47.26812,-52.77385, 
47.26811,-52.77388, 
47.2681,-52.7739, 
47.26809,-52.7739, 
47.26808,-52.77389, 
47.26807,-52.77389, 
47.26806,-52.77389, 
47.26805,-52.7739, 
47.26805,-52.7739, 
47.26804,-52.7739, 
47.26804,-52.77391, 
47.26803,-52.77392, 
47.26802,-52.77394, 
47.26801,-52.77395, 
47.268,-52.77395, 
47.26799,-52.77395, 
47.26798,-52.77394, 
47.26797,-52.77394, 
47.26796,-52.77393, 
47.26796,-52.77391, 
47.26795,-52.7739, 
47.26795,-52.77389, 
47.26794,-52.77388, 
47.26793,-52.77387, 
47.26792,-52.77385, 
47.26791,-52.77384, 
47.26791,-52.7738, 
47.2679,-52.77379, 
47.2679,-52.77378, 
47.26789,-52.77377, 
47.26789,-52.77375, 
47.26788,-52.77375, 
47.26787,-52.77377, 
47.26787,-52.77377, 
47.26786,-52.77379, 
47.26785,-52.7738, 
47.26785,-52.77381, 
47.26784,-52.77382, 
47.26783,-52.77384, 
47.26782,-52.77385, 
47.26781,-52.77387, 
47.26781,-52.77388, 
47.2678,-52.77389, 
47.2678,-52.7739, 
47.26778,-52.7739, 
47.26776,-52.7739, 
47.26775,-52.7739, 
47.26775,-52.77391, 
47.26775,-52.77392, 
47.26776,-52.77393, 
47.26777,-52.77393, 
47.26777,-52.77394, 
47.26778,-52.77395, 
47.26779,-52.77396, 
47.2678,-52.77397, 
47.26781,-52.77397, 
47.26781,-52.77398, 
47.26782,-52.77399, 
47.26784,-52.774, 
47.26785,-52.77401, 
47.26785,-52.77401, 
47.26784,-52.77402, 
47.26784,-52.77402, 
47.26784,-52.77403, 
47.26785,-52.77405, 
47.26785,-52.77406, 
47.26785,-52.77408, 
47.26786,-52.77409, 
47.26787,-52.7741, 
47.26788,-52.77411, 
47.26788,-52.77412, 
47.26789,-52.77412, 
47.26788,-52.77414, 
47.26787,-52.77414, 
47.26786,-52.77415, 
47.26785,-52.77415, 
47.26783,-52.77416, 
47.26782,-52.77416, 
47.26781,-52.77416, 
47.2678,-52.77416, 
47.26779,-52.77416, 
47.26777,-52.77414, 
47.26775,-52.77413, 
47.26775,-52.77412, 
47.26774,-52.77411, 
47.26773,-52.77411, 
47.26772,-52.7741, 
47.26771,-52.77409, 
47.2677,-52.77407, 
47.2677,-52.77406, 
47.26769,-52.77403, 
47.26769,-52.77402, 
47.26769,-52.77402, 
47.26769,-52.77401, 
47.26768,-52.774, 
47.26767,-52.77399, 
47.26766,-52.77399, 
47.26765,-52.774, 
47.26764,-52.774, 
47.26763,-52.77401, 
47.26762,-52.77404, 
47.26763,-52.77405, 
47.26763,-52.77406, 
47.26764,-52.77407, 
47.26763,-52.77408, 
47.26764,-52.77409, 
47.26764,-52.77411, 
47.26765,-52.77412, 
47.26765,-52.77413, 
47.26765,-52.77414, 
47.26764,-52.77415, 
47.26764,-52.77416, 
47.26763,-52.77417, 
47.26763,-52.77416, 
47.26761,-52.77416, 
47.2676,-52.77415, 
47.26759,-52.77414, 
47.26758,-52.77412, 
47.26757,-52.77412, 
47.26755,-52.7741, 
47.26755,-52.7741, 
47.26754,-52.7741, 
47.26752,-52.77411, 
47.26751,-52.77411, 
47.2675,-52.77411, 
47.26749,-52.77411, 
47.26747,-52.77409, 
47.26745,-52.77408, 
47.26743,-52.77407, 
47.26742,-52.77407, 
47.26742,-52.77406, 
47.26741,-52.77405, 
47.2674,-52.77404, 
47.26739,-52.77403, 
47.26739,-52.77403, 
47.26737,-52.77403, 
47.26736,-52.77402, 
47.26735,-52.77402, 
47.26734,-52.77402, 
47.26732,-52.77402, 
47.26731,-52.77403, 
47.26729,-52.77404, 
47.26728,-52.77404, 
47.26727,-52.77405, 
47.26727,-52.77407, 
47.26726,-52.77408, 
47.26725,-52.7741, 
47.26724,-52.77413, 
47.26723,-52.77416, 
47.26722,-52.77418, 
47.26721,-52.77421, 
47.2672,-52.77423, 
47.26719,-52.77425, 
47.26718,-52.77427, 
47.26718,-52.77428, 
47.26717,-52.77429, 
47.26717,-52.7743, 
47.26716,-52.77431, 
47.26715,-52.77434, 
47.26715,-52.77437, 
47.26714,-52.7744, 
47.26713,-52.77443, 
47.26713,-52.77444, 
47.26713,-52.77447, 
47.26713,-52.77448, 
47.26713,-52.7745, 
47.26713,-52.77452, 
47.26713,-52.77453, 
47.26713,-52.77454, 
47.26714,-52.77454, 
47.26715,-52.77455, 
47.26715,-52.77455, 
47.26716,-52.77455, 
47.26717,-52.77456, 
47.26718,-52.77456, 
47.26718,-52.77456, 
47.26719,-52.77456, 
47.26719,-52.77457, 
47.2672,-52.77457, 
47.26721,-52.77457, 
47.26722,-52.77457, 
47.26723,-52.77458, 
47.26724,-52.77458, 
47.26725,-52.77459, 
47.26725,-52.77459, 
47.26727,-52.7746, 
47.26728,-52.7746, 
47.26728,-52.7746, 
47.26729,-52.77461, 
47.26731,-52.77461, 
47.26732,-52.77461, 
47.26733,-52.77461, 
47.26733,-52.77461, 
47.26734,-52.77461, 
47.26735,-52.77462, 
47.26736,-52.77463, 
47.26737,-52.77464, 
47.26738,-52.77465, 
47.2674,-52.77467, 
47.2674,-52.77468, 
47.26741,-52.77469, 
47.26743,-52.7747, 
47.26745,-52.77471, 
47.26746,-52.77472, 
47.26748,-52.77473, 
47.26747,-52.77474, 
47.26746,-52.77475, 
47.26744,-52.77476, 
47.26742,-52.77478, 
47.2674,-52.77478, 
47.26738,-52.77477, 
47.26737,-52.77476, 
47.26735,-52.77475, 
47.26734,-52.77474, 
47.26733,-52.77473, 
47.2673,-52.77472, 
47.26728,-52.77471, 
47.26727,-52.77471, 
47.26726,-52.7747, 
47.26724,-52.77468, 
47.26723,-52.77467, 
47.26722,-52.77466, 
47.26721,-52.77466, 
47.2672,-52.77465, 
47.26719,-52.77465, 
47.26717,-52.77465, 
47.26715,-52.77466, 
47.26715,-52.77466, 
47.26713,-52.77467, 
47.26712,-52.77468, 
47.26712,-52.77469, 
47.2671,-52.77471, 
47.26708,-52.77473, 
47.26708,-52.77473, 
47.26706,-52.77476, 
47.26704,-52.77478, 
47.26703,-52.77479, 
47.267,-52.77481, 
47.26699,-52.77482, 
47.26697,-52.77484, 
47.26695,-52.77487, 
47.26692,-52.77491, 
47.26689,-52.77495, 
47.26686,-52.77497, 
47.26686,-52.77497, 
47.26684,-52.77496, 
47.26684,-52.77495, 
47.26683,-52.77495, 
47.26682,-52.77494, 
47.26681,-52.77494, 
47.26679,-52.77494, 
47.26679,-52.77495, 
47.26678,-52.77497, 
47.26678,-52.77498, 
47.26677,-52.775, 
47.26677,-52.77505, 
47.26677,-52.77509, 
47.26677,-52.7751, 
47.26676,-52.77513, 
47.26676,-52.77516, 
47.26676,-52.77518, 
47.26676,-52.7752, 
47.26676,-52.77522, 
47.26676,-52.77522, 
47.26676,-52.77525, 
47.26676,-52.77526, 
47.26677,-52.77527, 
47.26677,-52.77528, 
47.26676,-52.77528, 
47.26676,-52.77529, 
47.26677,-52.77531, 
47.26677,-52.77532, 
47.26679,-52.77534, 
47.2668,-52.77535, 
47.2668,-52.77536, 
47.2668,-52.77536, 
47.26681,-52.77537, 
47.26682,-52.77538, 
47.26682,-52.77539, 
47.26683,-52.77541, 
47.26684,-52.77542, 
47.26684,-52.77542, 
47.26685,-52.77543, 
47.26686,-52.77543, 
47.26687,-52.77544, 
47.26688,-52.77545, 
47.26689,-52.77545, 
47.26689,-52.77546, 
47.2669,-52.77546, 
47.2669,-52.77546, 
47.26691,-52.77547, 
47.26692,-52.77547, 
47.26693,-52.77548, 
47.26693,-52.77548, 
47.26694,-52.77549, 
47.26694,-52.77549, 
47.26695,-52.77549, 
47.26696,-52.77549, 
47.26696,-52.7755, 
47.26697,-52.7755, 
47.26698,-52.7755, 
47.26698,-52.77551, 
47.26699,-52.77551, 
47.267,-52.77552, 
47.26701,-52.77552, 
47.26702,-52.77552, 
47.26703,-52.77553, 
47.26703,-52.77553, 
47.26704,-52.77553, 
47.26705,-52.77553, 
47.26706,-52.77554, 
47.26706,-52.77553, 
47.26707,-52.77554, 
47.26708,-52.77554, 
47.26709,-52.77555, 
47.2671,-52.77555, 
47.26711,-52.77555, 
47.26712,-52.77556, 
47.26713,-52.77556, 
47.26713,-52.77556, 
47.26714,-52.77556, 
47.26715,-52.77556, 
47.26715,-52.77557, 
47.26716,-52.77556, 
47.26717,-52.77557, 
47.26717,-52.77557, 
47.26718,-52.77557, 
47.26719,-52.77557, 
47.26719,-52.77558, 
47.2672,-52.77558, 
47.26721,-52.77558, 
47.26722,-52.77558, 
47.26722,-52.77559, 
47.26723,-52.77559, 
47.26723,-52.7756, 
47.26724,-52.7756, 
47.26725,-52.77561, 
47.26726,-52.77562, 
47.26726,-52.77562, 
47.26727,-52.77563, 
47.26728,-52.77564, 
47.26728,-52.77564, 
47.26729,-52.77565, 
47.26729,-52.77566, 
47.2673,-52.77567, 
47.26731,-52.77567, 
47.26731,-52.77568, 
47.26732,-52.77568, 
47.26733,-52.77569, 
47.26733,-52.77569, 
47.26733,-52.7757, 
47.26732,-52.77572, 
47.26732,-52.77572, 
47.26732,-52.77573, 
47.26731,-52.77574, 
47.26731,-52.77575, 
47.2673,-52.77577, 
47.2673,-52.77577, 
47.2673,-52.77578, 
47.2673,-52.77579, 
47.2673,-52.77581, 
47.26729,-52.77582, 
47.26729,-52.77583, 
47.26727,-52.77587, 
47.26726,-52.7759, 
47.26726,-52.77591, 
47.26725,-52.77594, 
47.26724,-52.77597, 
47.26722,-52.77599, 
47.26721,-52.77603, 
47.2672,-52.77606, 
47.26719,-52.77607, 
47.26719,-52.77609, 
47.26717,-52.77613, 
47.26717,-52.77614, 
47.26716,-52.77616, 
47.26715,-52.77618, 
47.26713,-52.7762, 
47.26712,-52.77622, 
47.26711,-52.77623, 
47.2671,-52.77625, 
47.26709,-52.77626, 
47.26707,-52.77627, 
47.26707,-52.77627, 
47.26706,-52.77628, 
47.26706,-52.7763, 
47.26705,-52.77631, 
47.26704,-52.77633, 
47.26703,-52.77634, 
47.26702,-52.77635, 
47.26701,-52.77636, 
47.26701,-52.77636, 
47.26701,-52.77637, 
47.267,-52.77638, 
47.26699,-52.77639, 
47.26699,-52.77639, 
47.26698,-52.77639, 
47.26697,-52.77641, 
47.26697,-52.77641, 
47.26695,-52.77644, 
47.26694,-52.77648, 
47.26693,-52.77649, 
47.26692,-52.77651, 
47.26692,-52.77652, 
47.26691,-52.77653, 
47.26691,-52.77654, 
47.2669,-52.77654, 
47.2669,-52.77654, 
47.26689,-52.77653, 
47.26689,-52.77651, 
47.26688,-52.77651, 
47.26688,-52.7765, 
47.26687,-52.77649, 
47.26686,-52.77648, 
47.26686,-52.77647, 
47.26686,-52.77646, 
47.26686,-52.77646, 
47.26686,-52.77644, 
47.26686,-52.77644, 
47.26686,-52.77643, 
47.26686,-52.77641, 
47.26686,-52.77639, 
47.26686,-52.7764, 
47.26685,-52.7764, 
47.26685,-52.77641, 
47.26684,-52.77643, 
47.26684,-52.77644, 
47.26683,-52.77645, 
47.26682,-52.77647, 
