Date,Moon_Illumination
2017-09-01,82.3
2017-09-02,89.3
2017-09-03,94.8
2017-09-04,97
2017-09-05,98.5
2017-09-06,100
2017-09-07,99
2017-09-08,95.6
2017-09-09,89.8
2017-09-10,81.7
2017-09-11,71.7
2017-09-12,60.5
2017-09-13,48.7
2017-09-14,36.8
2017-09-15,25.8
2017-09-16,16.1
2017-09-17,8.5
2017-09-18,3.2
2017-09-19,0.5
2017-09-20,0.3
2017-09-21,2.5
2017-09-22,6.9
2017-09-23,13
2017-09-24,20.5
2017-09-25,29
2017-09-26,38.2
2017-09-27,47.9
2017-09-28,57.7
2017-09-29,67.3
2017-09-30,76.3
2017-10-01,84.5
2017-10-02,91.4
2017-10-03,96.5
2017-10-04,98
2017-10-05,99.4
2017-10-06,99.7
2017-10-07,97.2
2017-10-08,92
2017-10-09,84.2
2017-10-10,74.5
2017-10-11,63.4
2017-10-12,51.6
2017-10-13,39.9
2017-10-14,28.9
2017-10-15,19.2
2017-10-16,11.3
2017-10-17,5.3
2017-10-18,1.6
2017-10-19,0.2
2017-10-20,0.9
2017-10-21,3.8
2017-10-22,8.4
2017-10-23,14.6
2017-10-24,22.2
2017-10-25,30.7
2017-10-26,40
2017-10-27,49.8
2017-10-28,59.8
2017-10-29,69.6
2017-10-30,78.8
2017-10-31,87.1
2017-11-01,93.7
2017-11-02,98.1
2017-11-03,99
2017-11-04,99.8
2017-11-05,98.5
2017-11-06,94.1
2017-11-07,87
2017-11-08,77.7
2017-11-09,66.9
2017-11-10,55.4
2017-11-11,44
2017-11-12,33.1
2017-11-13,23.3
2017-11-14,15
2017-11-15,8.4
2017-11-16,3.7
2017-11-17,0.9
2017-11-18,0.2
2017-11-19,1.5
2017-11-20,4.6
2017-11-21,9.5
2017-11-22,15.8
2017-11-23,23.5
2017-11-24,32.3
2017-11-25,41.9
2017-11-26,52.1
2017-11-27,62.5
2017-11-28,72.6
2017-11-29,82.1
2017-11-30,90.1
2018-09-01,69
2018-09-02,58.3
2018-09-03,46.9
2018-09-04,35.3
2018-09-05,24.2
2018-09-06,14.5
2018-09-07,6.9
2018-09-08,1.9
2018-09-09,0.1
2018-09-10,1.4
2018-09-11,5.5
2018-09-12,11.9
2018-09-13,20
2018-09-14,29.3
2018-09-15,39.3
2018-09-16,49.3
2018-09-17,59.3
2018-09-18,68.7
2018-09-19,77.3
2018-09-20,84.9
2018-09-21,91.2
2018-09-22,95.9
2018-09-23,97
2018-09-24,98.9
2018-09-25,99.9
2018-09-26,98.7
2018-09-27,95.3
2018-09-28,89.7
2018-09-29,82
2018-09-30,72.6
2018-10-01,61.9
2018-10-02,50.3
2018-10-03,38.5
2018-10-04,27.2
2018-10-05,17.2
2018-10-06,9.1
2018-10-07,3.4
2018-10-08,0.5
2018-10-09,0.5
2018-10-10,3.2
2018-10-11,8.1
2018-10-12,14.9
2018-10-13,23.1
2018-10-14,32.2
2018-10-15,41.8
2018-10-16,51.5
2018-10-17,61.2
2018-10-18,70.4
2018-10-19,78.9
2018-10-20,86.4
2018-10-21,92.6
2018-10-22,97
2018-10-23,98
2018-10-24,99.4
2018-10-25,99.6
2018-10-26,97.2
2018-10-27,92.4
2018-10-28,85.2
2018-10-29,76
2018-10-30,65.3
2018-10-31,53.6
2018-11-01,41.8
2018-11-02,30.5
2018-11-03,20.3
2018-11-04,11.8
2018-11-05,5.4
2018-11-06,1.5
2018-11-07,0.2
2018-11-08,1.3
2018-11-09,4.6
2018-11-10,9.9
2018-11-11,16.8
2018-11-12,24.8
2018-11-13,33.7
2018-11-14,43.2
2018-11-15,52.9
2018-11-16,62.5
2018-11-17,71.9
2018-11-18,80.5
2018-11-19,88.1
2018-11-20,94.1
2018-11-21,98.2
2018-11-22,99.8
2018-11-23,100
2018-11-24,98.8
2018-11-25,94.8
2018-11-26,88.2
2018-11-27,79.3
2018-11-28,68.8
2018-11-29,57.3
2018-11-30,45.6
2019-09-01,8.1
2019-09-02,16.1
2019-09-03,25.8
2019-09-04,36.5
2019-09-05,47.5
2019-09-06,58.2
2019-09-07,68.3
2019-09-08,77.4
2019-09-09,85.1
2019-09-10,91.4
2019-09-11,96
2019-09-12,97
2019-09-13,98.9
2019-09-14,99.8
2019-09-15,98.9
2019-09-16,96.2
2019-09-17,91.6
2019-09-18,85.3
2019-09-19,77.5
2019-09-20,68.3
2019-09-21,58
2019-09-22,47
2019-09-23,35.8
2019-09-24,24.9
2019-09-25,15.2
2019-09-26,7.4
2019-09-27,2.3
2019-09-28,0.2
2019-09-29,1.5
2019-09-30,5.8
2019-10-01,12.6
2019-10-02,21.4
2019-10-03,31.3
2019-10-04,41.7
2019-10-05,52.1
2019-10-06,62.2
2019-10-07,71.6
2019-10-08,79.9
2019-10-09,87.1
2019-10-10,92.8
2019-10-11,96.9
2019-10-12,98
2019-10-13,99.3
2019-10-14,99.8
2019-10-15,98.2
2019-10-16,94.7
2019-10-17,89.3
2019-10-18,82
2019-10-19,73.1
2019-10-20,62.8
2019-10-21,51.6
2019-10-22,40
2019-10-23,28.7
2019-10-24,18.4
2019-10-25,9.9
2019-10-26,3.8
2019-10-27,0.6
2019-10-28,0.5
2019-10-29,3.4
2019-10-30,8.8
2019-10-31,16.3
2019-11-01,25.1
2019-11-02,34.8
2019-11-03,44.8
2019-11-04,54.8
2019-11-05,64.4
2019-11-06,73.3
2019-11-07,81.4
2019-11-08,88.3
2019-11-09,93.8
2019-11-10,97.7
2019-11-11,99.7
2019-11-12,100
2019-11-13,99.6
2019-11-14,97.2
2019-11-15,92.6
2019-11-16,85.9
2019-11-17,77.2
2019-11-18,67
2019-11-19,55.7
2019-11-20,44
2019-11-21,32.4
2019-11-22,21.8
2019-11-23,12.7
2019-11-24,5.8
2019-11-25,1.5
2019-11-26,0.1
2019-11-27,1.4
2019-11-28,5.3
2019-11-29,11.2
2019-11-30,18.7
2020-09-01,98.7
2020-09-02,99.8
2020-09-03,98.9
2020-09-04,96.1
2020-09-05,91.6
2020-09-06,85.5
2020-09-07,78.1
2020-09-08,69.6
2020-09-09,60.2
2020-09-10,50.2
2020-09-11,39.9
2020-09-12,29.7
2020-09-13,20.1
2020-09-14,11.7
2020-09-15,5.2
2020-09-16,1.2
2020-09-17,0.2
2020-09-18,2.5
2020-09-19,7.8
2020-09-20,15.7
2020-09-21,25.6
2020-09-22,36.6
2020-09-23,48
2020-09-24,59.2
2020-09-25,69.5
2020-09-26,78.8
2020-09-27,86.5
2020-09-28,92.6
2020-09-29,96.9
2020-09-30,98
2020-10-01,99.3
2020-10-02,99.8
2020-10-03,98.3
2020-10-04,95.1
2020-10-05,90.2
2020-10-06,83.7
2020-10-07,75.8
2020-10-08,66.8
2020-10-09,56.8
2020-10-10,46.2
2020-10-11,35.4
2020-10-12,25
2020-10-13,15.5
2020-10-14,7.8
2020-10-15,2.5
2020-10-16,0.2
2020-10-17,1.2
2020-10-18,5.5
2020-10-19,12.5
2020-10-20,21.6
2020-10-21,32
2020-10-22,42.9
2020-10-23,53.8
2020-10-24,64.1
2020-10-25,73.6
2020-10-26,81.9
2020-10-27,88.8
2020-10-28,94.1
2020-10-29,97.8
2020-10-30,99
2020-10-31,99.7
2020-11-01,99.7
2020-11-02,97.8
2020-11-03,94
2020-11-04,88.5
2020-11-05,81.3
2020-11-06,72.6
2020-11-07,62.8
2020-11-08,52
2020-11-09,40.8
2020-11-10,29.7
2020-11-11,19.4
2020-11-12,10.7
2020-11-13,4.2
2020-11-14,0.6
2020-11-15,0.3
2020-11-16,3.3
2020-11-17,9
2020-11-18,17
2020-11-19,26.4
2020-11-20,36.6
2020-11-21,47.1
2020-11-22,57.3
2020-11-23,67
2020-11-24,75.8
2020-11-25,83.6
2020-11-26,90.1
2020-11-27,95.1
2020-11-28,98.4
2020-11-29,99.9
2020-11-30,100
2021-09-01,30.1
2021-09-02,21.3
2021-09-03,13.5
2021-09-04,7.2
2021-09-05,2.7
2021-09-06,0.4
2021-09-07,0.7
2021-09-08,3.7
2021-09-09,9.4
2021-09-10,17.4
2021-09-11,27.4
2021-09-12,38.6
2021-09-13,50.5
2021-09-14,62.2
2021-09-15,73.1
2021-09-16,82.6
2021-09-17,90.3
2021-09-18,95.8
2021-09-19,98
2021-09-20,99
2021-09-21,99.8
2021-09-22,98.4
2021-09-23,95
2021-09-24,89.8
2021-09-25,83.1
2021-09-26,75.2
2021-09-27,66.4
2021-09-28,56.9
2021-09-29,47
2021-09-30,37.1
2021-10-01,27.5
2021-10-02,18.5
2021-10-03,10.8
2021-10-04,4.8
2021-10-05,1.1
2021-10-06,0.2
2021-10-07,2.2
2021-10-08,7.1
2021-10-09,14.7
2021-10-10,24.5
2021-10-11,35.6
2021-10-12,47.3
